CLT AGE,CLT CATEGORIE,SEGMENT,CLT REV MENS NET,MMM,VOLUME DES REVENUS,CREDIT CONSO,CREDIT IMMO,CLASSE DE RISQUE,PRIME_ASSURANCE
45,7000,HAUT DE GAMME,7000,9718.898,3624.149,20166.92,42841.068,0,399.156
48,7000,CLASSE MOYENNE,1266,1474.909,3553.788,0,33463.189,0,478.53
53,7000,CLASSE MOYENNE,1530,2231.226,0,0,47127.994,0,442.398
42,7000,CLASSE MOYENNE,1343,1390.3,74.769,1873.669,51118.097,0,853.701
43,7000,CLASSE MOYENNE,1788,2163.217,0,7409.361,62706.238,0,760.328
53,7000,HAUT DE GAMME,641,2052.197,67.465,26991.553,138342.018,0,3328.935
50,7000,GRAND PUBLIC,1780,1859.178,51.958,4685.164,32667.323,0,367.161
46,7000,CLASSE MOYENNE,1312,1957.933,71802.013,0,46773.264,0,656.697
63,7000,CLASSE MOYENNE,2274,2365.498,0,12008.489,94335.938,0,1762.328
38,7000,HAUT DE GAMME,1089,2266.721,2496.949,0,36690.281,0,429.276
38,7000,CLASSE MOYENNE,1950,2245.334,512.28,0,73372.544,0,767.324
49,7000,CLASSE MOYENNE,1979,2061.575,1293.42,0,82017.565,0,1027.574
48,7000,CLASSE MOYENNE,1752,2341.674,58.698,1233.539,40854.49,0,399.499
54,7000,CLASSE MOYENNE,2181,1764.908,3833.654,15000,26141.003,0,441.24
44,7000,CLASSE MOYENNE,2606,2020.102,10.701,0,86638.078,0,689.453
49,7000,HAUT DE GAMME,2802,5986.21,24219.306,0,67226.627,0,629.241
42,7000,CLASSE MOYENNE,2051,2418.349,360.055,0,32976.393,0,257.216
40,7000,CLASSE MOYENNE,1757,1671.321,17.146,0,63124.374,0,501.073
46,7000,CLASSE MOYENNE,1252,1461.492,93.292,1569.486,45552.73,0,914.238
49,7000,CLASSE MOYENNE,990,1009.825,35.809,1657.104,32336.019,0,494.135
60,7000,CLASSE MOYENNE,2509,2411.114,3506.067,0,84390.084,0,1016.051
44,7150,TRE,8000,6629.951,189.305294,0,56566.066,0,264.729
52,7000,CLASSE MOYENNE,1254,1174.281,267.404,0,44666.955,0,628.584
47,7000,CLASSE MOYENNE,1462,915.667,317.228,0,48947.704,0,687.226
59,7000,CLASSE MOYENNE,1091,767.96,0,0,35150.152,0,503.585
48,7000,CLASSE MOYENNE,1778,1993.594,188.801,682.082,28453.835,0,285.718
46,6000,HAUT DE GAMME,6378,104374.223,341152.3954,0,110024.795,0,1149.012
46,7000,CLASSE MOYENNE,1847,3667.321,2176.974,0,5955.199,0,80
51,7000,CLASSE MOYENNE,958,1551.006,0,0,28024.023,0,395.335
43,7000,HAUT DE GAMME,2068,4057.318,17.423,0,153088.081,0,1608.76
49,7000,CLASSE MOYENNE,1029,733.392,0,446.337,16617.904,0,273.45
50,7000,CLASSE MOYENNE,2006,1891.643,75.837,8062.436,38056.476,0,475.621
64,7000,CLASSE MOYENNE,1569,1859.701,527.409,6167.889,8252.747,0,155.041
